provinsi,Kab_Kota,Kecamatan,lat,lon
RIAU,KAMPAR,BANGKINANG,0.4392875799654309,101.01897586072516
RIAU,INDRAGIRI HILIR,ENOK,-0.5072378883040394,103.12813442551779
RIAU,ROKAN HULU,BONAI DARUSSALAM,1.1625905911095613,100.83618442443658
RIAU,ROKAN HULU,PAGARAN TAPAH DARUSSALAM,0.7697701499837382,100.60397020217566
RIAU,INDRAGIRI HULU,LUBUK BATU JAYA,-0.3423429791329542,102.1247886031558
RIAU,ROKAN HILIR,RANTAU KOPAR,1.405453838125121,101.0296874986318
RIAU,KOTA PEKANBARU,LIMA PULUH,0.5392747537953527,101.45877164200442
RIAU,KOTA PEKANBARU,SENAPELAN,0.5355947470057225,101.43637420607817
SUMATERA SELATAN,BANYUASIN,SUMBER MARGA TELANG,-2.547485113046895,104.80160629246652
SUMATERA SELATAN,OGAN KOMERING ILIR,TELUK GELAM,-3.5905689988905714,104.78823739076532
SUMATERA SELATAN,OGAN KOMERING ILIR,PEDAMARAN TIMUR,-3.5463230896121383,105.15629026355883
RIAU,KAMPAR,KAMPAR TIMUR,0.3518766831846557,101.19713809013302
RIAU,INDRAGIRI HILIR,TEMPULING,-0.41132934838209295,102.90006898655031
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BELITANG MULYA,-4.038410715364423,104.73220626059843
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BUAY PEMUKA BANGSA RAJA,-4.1607363493211516,104.46912796901094
RIAU,INDRAGIRI HILIR,GAUNG ANAK SERKA,-0.19325340742964017,103.15637411771135
RIAU,INDRAGIRI HILIR,KEMPAS,-0.4712865175513175,102.80409175760234
RIAU,ROKAN HULU,PENDALIAN IV KOTO,0.5028459267424694,100.48635121138653
RIAU,KAMPAR,BANGKINANG KOTA,0.26496889469837626,101.0729510344213
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,-0.6144062585461204,103.22232814058992
RIAU,INDRAGIRI HILIR,KEMUNING,-0.9257575585740931,102.70889447387633
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,MUARA DUA,-4.537007544865309,104.05073546471071
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,PULAU BERINGIN,-4.501635990063561,103.66522024512821
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,KISAM TINGGI,-4.315945323715196,103.77029739411192
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,KISAM ILIR,-4.477235190054977,103.77885535484043
SUMATERA SELATAN,EMPAT LAWANG,TALANG PADANG,-3.683393770208874,102.93340585906545
RIAU,INDRAGIRI HILIR,TELUK BELENGKONG,0.30008117827679964,103.34563940178816
RIAU,INDRAGIRI HILIR,PELANGIRAN,0.20391259987288407,103.35078378461456
RIAU,INDRAGIRI HILIR,PULAU BURUNG,0.4156076490853905,103.39310345533887
RIAU,ROKAN HULU,KEPENUHAN HULU,0.9896208899839471,100.51501610952414
SUMATERA SELATAN,EMPAT LAWANG,PENDOPO BARAT,-3.757584416128926,102.92356101946515
RIAU,KAMPAR,KAMPAR,0.2792354787264347,101.1267291751515
RIAU,KAMPAR,TAMBANG,0.3727382836625853,101.308042109833
RIAU,KAMPAR,KUOK,0.3439489806284095,100.91198720841534
RIAU,KAMPAR,SIAK HULU,0.35057721073308445,101.55057554510924
RIAU,KAMPAR,SALO,0.3018262246482729,101.00643934068134
RIAU,KAMPAR,RUMBIO JAYA,0.421596497983597,101.1480019078798
RIAU,KAMPAR,XIII KOTO KAMPAR,0.23097097871629638,100.81064660539056
RIAU,INDRAGIRI HILIR,TANAH MERAH,-0.4751227259333362,103.35318326758613
RIAU,KAMPAR,KAMPAR KIRI,-0.00834006561562783,101.11675869792326
RIAU,KAMPAR,KAMPAR KIRI HILIR,0.12530138188483825,101.46825065268693
RIAU,INDRAGIRI HILIR,BATANG TUAKA,-0.26792112417321423,103.12095110857513
RIAU,KAMPAR,KAMPAR KIRI HULU,-0.18486751420021796,100.94225354290312
RIAU,KAMPAR,TAPUNG HULU,0.7684337995705736,100.82012756584948
RIAU,KAMPAR,TAPUNG,0.5814300771015929,101.09072213220493
