provinsi,Kab_Kota,Kecamatan,hotspot_kemarin,hotspot_2hari_lalu,hotspot_3hari_lalu,curah_hujan_avg_7d,suhu_avg_7d,kelembaban_avg_7d,hari_tanpa_hujan,bulan,hari_dalam_tahun,skor_risiko,kategori_risiko,model_terlatih,tanggal_prediksi
Riau,KAMPAR,BANGKINANG,0,0,0,6.514285714285713,27.8,80.71428571428571,0,8,232,0.022701188968269535,Rendah,True,2026-08-20
Riau,INDRAGIRI HILIR,ENOK,0,0,0,5.642857142857143,27.400000000000002,83.71428571428571,0,8,232,0.15215462633171145,Rendah,True,2026-08-20
Riau,ROKAN HULU,BONAI DARUSSALAM,0,0,0,8.328571428571427,27.614285714285717,83.0,0,8,232,0.5138801956465172,Sedang,True,2026-08-20
Riau,INDRAGIRI HULU,LUBUK BATU JAYA,0,0,0,4.085714285714286,27.042857142857144,84.42857142857143,0,8,232,0.1248996021860285,Rendah,True,2026-08-20
Riau,ROKAN HILIR,RANTAU KOPAR,0,0,0,6.714285714285714,28.300000000000004,78.71428571428571,0,8,232,0.2825560546298801,Sedang,True,2026-08-20
Sumatera Selatan,OGAN KOMERING ILIR,PEDAMARAN TIMUR,0,0,0,0.65,28.325000000000003,70.5,1,8,232,0.8535441863816349,Tinggi,True,2026-08-20
Riau,KAMPAR,KAMPAR TIMUR,0,0,0,5.757142857142858,27.87142857142857,80.57142857142857,0,8,232,0.0756166280381181,Rendah,True,2026-08-20
Riau,INDRAGIRI HILIR,TEMPULING,0,0,0,4.114285714285715,27.614285714285717,81.14285714285714,0,8,232,0.4495826992473083,Sedang,True,2026-08-20
Sumatera Selatan,OGAN KOMERING ULU TIMUR,BUAY PEMUKA BANGSA RAJA,0,0,0,1.2714285714285716,28.685714285714283,68.57142857142857,0,8,232,0.25402863476054555,Rendah,True,2026-08-20
Riau,INDRAGIRI HILIR,GAUNG ANAK SERKA,0,0,0,2.6285714285714286,27.9,79.85714285714286,0,8,232,0.5193243986695492,Sedang,True,2026-08-20
Riau,INDRAGIRI HILIR,KEMPAS,0,0,0,3.4799999999999995,27.419999999999998,82.4,0,8,232,0.7564913601523185,Tinggi,True,2026-08-20
Riau,ROKAN HULU,PENDALIAN IV KOTO,0,0,0,6.65,26.7,85.75,0,8,232,0.2445441885023801,Rendah,True,2026-08-20
Riau,KAMPAR,BANGKINANG KOTA,0,0,0,4.1,27.4,84.0,0,8,232,0.6176598385359025,Sedang,True,2026-08-20
Riau,INDRAGIRI HILIR,SUNGAI BATANG,0,0,0,7.5,27.8,80.0,0,8,232,0.18104587237849898,Rendah,True,2026-08-20
Riau,INDRAGIRI HILIR,KEMUNING,0,0,0,2.1666666666666665,27.133333333333336,80.33333333333333,0,8,232,0.7781422943020335,Tinggi,True,2026-08-20
Sumatera Selatan,OGAN KOMERING ULU SELATAN,MUARA DUA,0,0,0,0.1,28.125,67.5,4,8,232,0.9095110500983734,Tinggi,True,2026-08-20
Sumatera Selatan,OGAN KOMERING ULU SELATAN,PULAU BERINGIN,0,0,0,1.3285714285714287,20.185714285714283,81.71428571428571,1,8,232,0.14917602778460584,Rendah,True,2026-08-20
Sumatera Selatan,OGAN KOMERING ULU SELATAN,KISAM TINGGI,0,0,0,1.157142857142857,22.085714285714285,80.71428571428571,2,8,232,0.11656080392427547,Rendah,True,2026-08-20
Sumatera Selatan,OGAN KOMERING ULU SELATAN,KISAM ILIR,0,0,0,1.2,25.028571428571432,74.85714285714286,0,8,232,0.002377003173758825,Rendah,True,2026-08-20
Sumatera Selatan,EMPAT LAWANG,TALANG PADANG,0,0,0,1.9571428571428573,25.3,78.57142857142857,0,8,232,0.4621252565306282,Sedang,True,2026-08-20
Riau,INDRAGIRI HILIR,TELUK BELENGKONG,0,0,0,2.15,27.250000000000004,82.66666666666667,0,8,232,0.4371954234807226,Sedang,True,2026-08-20
Riau,INDRAGIRI HILIR,PELANGIRAN,0,0,0,2.05,27.724999999999998,81.25,0,8,232,0.2629040595662486,Rendah,True,2026-08-20
Riau,INDRAGIRI HILIR,PULAU BURUNG,0,0,0,2.75,27.525,82.75,0,8,232,0.3836487188648221,Sedang,True,2026-08-20
Riau,ROKAN HULU,KEPENUHAN HULU,0,0,0,2.2,27.1,88.0,0,8,232,0.2876567888567818,Sedang,True,2026-08-20
Sumatera Selatan,EMPAT LAWANG,PENDOPO BARAT,0,0,0,1.3666666666666665,26.3,78.33333333333333,0,8,232,0.515844572485698,Sedang,True,2026-08-20
Riau,KAMPAR,KAMPAR,0,0,0,5.0,28.02,79.4,0,8,232,0.24327901153805237,Rendah,True,2026-08-20
Riau,KAMPAR,TAMBANG,0,0,0,5.62,28.02,80.2,0,8,232,0.20338036525361367,Rendah,True,2026-08-20
Riau,KAMPAR,KUOK,0,0,0,5.171428571428572,27.385714285714283,80.28571428571429,0,8,232,0.24127058140069316,Rendah,True,2026-08-20
Riau,KAMPAR,SIAK HULU,0,0,0,3.8999999999999995,27.87142857142857,80.42857142857143,0,8,232,0.530634625360645,Sedang,True,2026-08-20
Riau,KAMPAR,SALO,0,0,0,3.814285714285714,27.9,78.71428571428571,0,8,232,0.15084962736511526,Rendah,True,2026-08-20
Riau,KAMPAR,RUMBIO JAYA,0,0,0,2.7399999999999998,27.6,78.8,0,8,232,0.03953116486588042,Rendah,True,2026-08-20
Riau,KAMPAR,XIII KOTO KAMPAR,0,0,0,6.528571428571428,27.314285714285717,83.42857142857143,0,8,232,0.7195823107914723,Tinggi,True,2026-08-20
Riau,INDRAGIRI HILIR,TANAH MERAH,0,0,0,3.6199999999999997,27.78,80.8,0,8,232,0.04656041223848753,Rendah,True,2026-08-20
Riau,KAMPAR,KAMPAR KIRI,0,0,0,2.4333333333333336,27.233333333333334,81.0,0,8,232,0.810086887901852,Tinggi,True,2026-08-20
Riau,KAMPAR,KAMPAR KIRI HILIR,0,0,0,3.425,27.825000000000003,81.0,0,8,232,0.31430258516710124,Sedang,True,2026-08-20
Riau,INDRAGIRI HILIR,BATANG TUAKA,0,0,0,2.575,27.974999999999998,80.0,0,8,232,0.3694994306722614,Sedang,True,2026-08-20
Riau,KAMPAR,KAMPAR KIRI HULU,0,0,0,6.1,25.575,85.0,0,8,232,0.3392240228106025,Sedang,True,2026-08-20
Riau,KAMPAR,TAPUNG HULU,0,0,0,7.219999999999999,27.76,80.2,0,8,232,0.7025527984329196,Tinggi,True,2026-08-20
Riau,KAMPAR,TAPUNG,0,0,0,0.0,27.7,76.0,1,8,232,0.7552940469934001,Tinggi,True,2026-08-20
Riau,KAMPAR,TAPUNG HILIR,0,0,0,5.449999999999999,28.2,78.0,0,8,232,0.4417469120055535,Sedang,True,2026-08-20
Riau,KAMPAR,KAMPAR UTARA,0,0,0,4.0600000000000005,28.1,79.0,0,8,232,0.17165677224117162,Rendah,True,2026-08-20
Riau,KAMPAR,PERHENTIAN RAJA,0,0,0,6.528571428571429,27.857142857142854,81.85714285714286,0,8,232,0.4045357533132423,Sedang,True,2026-08-20
Riau,KAMPAR,KAMPAR KIRI TENGAH,0,0,0,6.028571428571428,27.657142857142855,81.71428571428571,0,8,232,0.013492929251308372,Rendah,True,2026-08-20
Riau,KAMPAR,GUNUNG SAHILAN,0,0,0,4.571428571428571,27.685714285714283,81.0,0,8,232,0.36102204475974536,Sedang,True,2026-08-20
Riau,KAMPAR,KOTO KAMPAR HULU,0,0,0,7.085714285714287,26.32857142857143,84.85714285714286,0,8,232,0.587920384405004,Sedang,True,2026-08-20
Riau,INDRAGIRI HULU,RENGAT,0,0,0,2.266666666666666,27.916666666666668,78.0,0,8,232,0.2677019566894209,Rendah,True,2026-08-20
Riau,INDRAGIRI HULU,RENGAT BARAT,0,0,0,5.966666666666666,27.099999999999998,84.33333333333333,0,8,232,0.6801562541823681,Tinggi,True,2026-08-20
Riau,INDRAGIRI HULU,SIBERIDA,0,0,0,2.62,27.080000000000002,82.6,0,8,232,0.5607524675760212,Sedang,True,2026-08-20
Riau,INDRAGIRI HULU,KELAYANG,0,0,0,2.9,27.28,83.6,0,8,232,0.610881428611837,Sedang,True,2026-08-20
Riau,INDRAGIRI HULU,BATANG CENAKU,0,0,0,5.3500000000000005,26.949999999999996,81.0,0,8,232,0.8202534801467585,Tinggi,True,2026-08-20
Riau,INDRAGIRI HULU,BATANG GANGSAL,0,0,0,3.94,25.2,81.0,0,8,232,0.8490815073079336,Tinggi,True,2026-08-20
Riau,INDRAGIRI HULU,LIRIK,0,0,0,4.342857142857143,27.285714285714285,82.85714285714286,0,8,232,0.015957235835013024,Rendah,True,2026-08-20
